🚀 AI Medical Server running at http://localhost:5001 (Database: 3009 items)
127.0.0.1 - - [08/Apr/2026 20:34:03] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:34:04] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:34:09] "POST /api/chat HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:42:03] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:42:04] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:42:09] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:42:09] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:42:09] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:42:09] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:42:10] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:42:10] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:42:17] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:42:17] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:42:17] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:42:18] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:42:18] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:42:18] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:42:18] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:06] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:06] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:06] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:06] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:06] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:06] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:06] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:07] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:07] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:08] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:08] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:08] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:08] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:09] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:09] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:09] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:09] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:09] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:09] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:13] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:13] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:13] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:14] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:14] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:14] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:14] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:14] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:15] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:15] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:15] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:16] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:43:16] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:49:18] "GET /docs HTTP/1.1" 404 -
127.0.0.1 - - [08/Apr/2026 20:49:27] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:49:28] "GET /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:49:33] "POST /api/medicines HTTP/1.1" 200 -
127.0.0.1 - - [08/Apr/2026 20:49:33] "GET /api/medicines HTTP/1.1" 200 -
